design,kind,drc,n_hotspot,wl,changed,offmask
jpeg_like,eco_move,279.6887926364791,105,54720.0,5,00000000000
jpeg_like,eco_move,256.4066759401877,95,54870.0,5,00000000000
jpeg_like,eco_move,265.9830962149534,89,54611.0,5,00000000000
jpeg_like,eco_move,268.51052121238297,95,55065.0,5,00000000000
jpeg_like,eco_move,274.78742170103897,95,54740.0,6,00000000000
jpeg_like,eco_move,289.20569221978167,99,54886.0,6,00000000000
jpeg_like,eco_move,268.3899767438902,90,54501.0,6,00000000000
jpeg_like,eco_move,265.0748006404194,80,55498.0,6,00000000000
jpeg_like,eco_move,276.3738113875242,94,55381.0,7,00000000000
jpeg_like,eco_move,250.98123980587758,76,53971.0,7,00000000000
jpeg_like,eco_move,298.6338688410859,94,55716.0,7,00000000000
jpeg_like,eco_move,245.86428289831235,83,54301.0,7,00000000000
jpeg_like,eco_move,302.66213487433697,103,54299.0,8,00000000000
jpeg_like,eco_move,203.822628221401,71,53672.0,8,00000000000
jpeg_like,eco_move,268.2546696587997,100,53898.0,8,00000000000
jpeg_like,eco_move,220.14303799539243,82,54599.0,8,00000000000
jpeg_like,eco_move,263.19467676227765,88,54632.0,9,00000000000
jpeg_like,eco_move,266.7661578185297,99,54715.0,9,00000000000
jpeg_like,eco_move,266.2495383332919,89,55057.0,9,00000000000
jpeg_like,eco_move,256.7517652690279,80,54767.0,9,00000000000
jpeg_like,eco_move,252.24944469116917,87,54653.0,10,00000000000
jpeg_like,eco_move,279.0197732545181,95,54989.0,10,00000000000
jpeg_like,eco_move,289.11705379272814,97,55021.0,10,00000000000
jpeg_like,eco_move,280.09169260943486,95,55232.0,10,00000000000
jpeg_like,single_move,208.1656989523242,81,53939.0,0,00000000000
jpeg_like,single_move,209.76642925000013,82,53254.0,0,00000000000
jpeg_like,single_move,175.03234459983472,65,53200.0,0,00000000000
jpeg_like,single_move,141.25341062405903,47,51632.0,0,00000000000
jpeg_like,single_move,211.6648505056118,70,54110.0,1,00000000000
jpeg_like,single_move,259.20946469042576,107,54209.0,1,00000000000
jpeg_like,single_move,328.8338480502872,97,55563.0,1,00000000000
jpeg_like,single_move,290.19977216760657,98,54418.0,1,00000000000
jpeg_like,single_move,242.783793766679,87,53004.0,2,00000000000
jpeg_like,single_move,283.31981532009615,103,54431.0,2,00000000000
jpeg_like,single_move,259.6736104788272,94,54457.0,2,00000000000
jpeg_like,single_move,255.97452368417018,92,54483.0,2,00000000000
jpeg_like,single_move,309.7217820418913,113,56708.0,3,00000000000
jpeg_like,single_move,256.16688812891994,91,57576.0,3,00000000000
jpeg_like,single_move,282.0994666102931,98,56331.0,3,00000000000
jpeg_like,single_move,320.8091705921785,118,56165.0,3,00000000000
jpeg_like,single_move,321.1436820112891,114,56455.0,4,00000000000
jpeg_like,single_move,272.3084348249769,97,54588.0,4,00000000000
jpeg_like,single_move,272.15104343056896,96,54680.0,4,00000000000
jpeg_like,single_move,261.2771307163324,108,55983.0,4,00000000000
jpeg_like,single_move,275.60769081715824,95,55172.0,5,00000000000
jpeg_like,single_move,241.34729730733426,78,53949.0,5,00000000000
jpeg_like,single_move,295.9984035135999,105,55488.0,5,00000000000
jpeg_like,single_move,291.4173846197184,101,54781.0,5,00000000000
jpeg_like,single_move,237.12450415366388,75,54882.0,6,00000000000
jpeg_like,single_move,244.50069403589927,87,55641.0,6,00000000000
jpeg_like,single_move,265.68681952623746,80,55209.0,6,00000000000
jpeg_like,single_move,261.8255294872172,79,55851.0,6,00000000000
jpeg_like,single_move,265.3180921438393,89,53583.0,7,00000000000
jpeg_like,single_move,260.5285205445912,94,54130.0,7,00000000000
jpeg_like,single_move,309.12668818301415,101,57073.0,7,00000000000
jpeg_like,single_move,334.2744941772946,99,55933.0,7,00000000000
jpeg_like,single_move,249.2598367099285,80,55571.0,8,00000000000
jpeg_like,single_move,271.7771332786982,105,54706.0,8,00000000000
jpeg_like,single_move,330.9289592562727,122,56462.0,8,00000000000
jpeg_like,single_move,273.2946929289168,99,54213.0,8,00000000000
jpeg_like,single_move,249.33522145905235,94,53943.0,9,00000000000
jpeg_like,single_move,243.43436300021995,84,53696.0,9,00000000000
jpeg_like,single_move,256.62108022014996,99,55072.0,9,00000000000
jpeg_like,single_move,274.60810485796765,99,54063.0,9,00000000000
jpeg_like,single_move,272.2526988508512,96,54452.0,10,00000000000
jpeg_like,single_move,274.15052226926247,103,56092.0,10,00000000000
jpeg_like,single_move,274.6638188830034,95,55674.0,10,00000000000
jpeg_like,single_move,290.95695375160756,94,55244.0,10,00000000000
jpeg_like,coalition_off,269.44904430399436,100,55523.0,"3,6,10,9,4,0,7,8,1",11011011111
jpeg_like,coalition_off,170.99468095374326,64,54758.0,"4,5,10,0",10001100001
jpeg_like,coalition_jitter,260.74291209795604,92,55133.0,"10,3,2,5",00000000000
jpeg_like,mixed,214.51940420307028,85,54351.0,"7,6,10,0,9,8,2",00000011001
jpeg_like,coalition_off,181.40560614748324,68,53562.0,"0,6,1,2,4,5",11101110000
jpeg_like,coalition_jitter,285.2455207865481,101,54576.0,"10,9,4",00000000000
jpeg_like,coalition_off,249.94821765154967,92,51887.0,"5,7",00000101000
jpeg_like,coalition_off,237.66211317147784,83,56033.0,"8,3,9,10",00010000111
jpeg_like,swap,285.0251029635329,105,56009.0,"4,2",00000000000
jpeg_like,mixed,199.54853607840494,78,53715.0,"1,3,0,5,6",01010000000
jpeg_like,coalition_off,315.42917440130776,119,56543.0,"7,8,1",01000001100
jpeg_like,coalition_off,225.5131253437017,80,54681.0,"2,1,0,8,5",11100100100
jpeg_like,coalition_off,185.09739374495777,73,54390.0,"9,1,0,6,5,8",11000110110
jpeg_like,coalition_jitter,295.7944600197317,89,55788.0,3,00000000000
jpeg_like,coalition_off,279.1575653130671,99,57019.0,"2,5,10,1,7,8,9,3,6,4,0",11111111111
jpeg_like,coalition_jitter,261.9966388180128,89,54519.0,"3,2,6",00000000000
jpeg_like,coalition_off,256.30106640604873,93,54939.0,"6,4,1",01001010000
jpeg_like,coalition_jitter,240.73082055522644,87,53574.0,"4,1,3,2",00000000000
jpeg_like,swap,232.65440689557275,91,55338.0,"6,0",00000000000
jpeg_like,coalition_off,186.99861237255223,69,51484.0,"6,0,4,7",10001011000
jpeg_like,coalition_off,288.28551734080395,97,51485.0,"7,0,5,3,4,6,8,1,10",11011111101
jpeg_like,swap,272.87039290546727,96,56381.0,"3,7",00000000000
jpeg_like,coalition_jitter,279.41840656937273,112,54636.0,"1,3",00000000000
jpeg_like,coalition_jitter,316.92944384242503,109,55597.0,"4,10,8,9,2",00000000000
jpeg_like,coalition_jitter,210.46929188945438,63,52315.0,"1,7,9,8,4",00000000000
jpeg_like,coalition_off,135.69358920405443,53,51440.0,"0,8,9,1",11000000110
jpeg_like,coalition_off,279.1575653130671,99,57019.0,"2,1,0,3,4,5,6,7,9,10,8",11111111111
jpeg_like,coalition_off,196.09037709587062,75,52694.0,0,10000000000
jpeg_like,swap,294.4839388143989,106,56906.0,"4,1",00000000000
